株式会社ＫＡＩ,https://www.kai-group.com/news/id/113-2/,代表取締役会長 兼 最高経営責任者 (CEO),遠藤 宏治
株式会社ＫＡＩ,https://www.kai-group.com/news/id/113-2/,代表取締役社長 兼 最高執行責任者 (COO),遠藤 浩彰
株式会社ヒロフードサービス,https://www.hirofoodservice.com/about/,代表取締役,井上 泰弘
株式会社ＭＫ,https://kk-mk.co.jp/news-detail.php?id=11,代表取締役,松川 慎
株式会社ＭＫ,https://kk-mk.co.jp/news-detail.php?id=11,取締役,木原 稔之
株式会社ＭＫ,https://kk-mk.co.jp/news-detail.php?id=11,取締役,松川 友哉
株式会社ＭＫ,https://kk-mk.co.jp/news-detail.php?id=11,取締役,岡村 繁範
株式会社ＭＫ,https://kk-mk.co.jp/news-detail.php?id=11,社外取締役,荒谷 充郎
株式会社ＭＫ,https://kk-mk.co.jp/news-detail.php?id=11,執行役員,甲斐 雅人
株式会社ＭＫ,https://kk-mk.co.jp/news-detail.php?id=11,監査役,台木 晋吾
株式会社船場,https://www.semba1008.co.jp/ja/company/information,代表取締役社長,八嶋 大輔
株式会社船場,https://www.semba1008.co.jp/ja/company/information,取締役会長,栗山 浩一
株式会社船場,https://www.semba1008.co.jp/ja/company/information,取締役,栗山 茂
株式会社船場,https://www.semba1008.co.jp/ja/company/information,取締役,秋山 弘明
株式会社船場,https://www.semba1008.co.jp/ja/company/information,社外取締役 常勤監査等委員,甲斐 太
株式会社船場,https://www.semba1008.co.jp/ja/company/information,社外取締役 監査等委員,松尾 美香
株式会社船場,https://www.semba1008.co.jp/ja/company/information,社外取締役 監査等委員,清水 一身
株式会社船場,https://www.semba1008.co.jp/ja/company/information,副社長執行役員,小田切 潤
株式会社船場,https://www.semba1008.co.jp/ja/company/information,上席執行役員 EAST事業本部長,神戸 暁
株式会社船場,https://www.semba1008.co.jp/ja/company/information,上席執行役員 WEST事業本部長,高橋 和也
株式会社船場,https://www.semba1008.co.jp/ja/company/information,執行役員,堀田 卓則
株式会社船場,https://www.semba1008.co.jp/ja/company/information,執行役員,竹内 光昭
株式会社船場,https://www.semba1008.co.jp/ja/company/information,執行役員,多喜井 豊
株式会社船場,https://www.semba1008.co.jp/ja/company/information,執行役員,小野田 豊明
株式会社船場,https://www.semba1008.co.jp/ja/company/information,執行役員,横山 大輔
株式会社船場,https://www.semba1008.co.jp/ja/company/information,執行役員,髙木 典弘
株式会社大善,https://daizen-jp.com/9-news/114-58.html,代表取締役社長,中橋伸幸
株式会社大善,https://daizen-jp.com/9-news/114-58.html,常務取締役,小幡孝夫
株式会社大善,https://daizen-jp.com/9-news/114-58.html,取締役,熊谷喜八郎
株式会社大善,https://daizen-jp.com/9-news/114-58.html,監査役,中橋幸孝
株式会社久原本家食品,https://kubarahonke.com/company/aboutus/,社主,河邉 哲司
株式会社ますき,https://www.masuki.jp/company/,代表取締役社長,升本 正
株式会社ますき,https://www.masuki.jp/company/,取締役,竹田 富一
株式会社ますき,https://www.masuki.jp/company/,取締役,市原 達朗
株式会社ますき,https://www.masuki.jp/company/,取締役,鈴木 勉
株式会社ますき,https://www.masuki.jp/company/,監査役,岡田 明久
株式会社かねりん,https://yellowpage.usonar.co.jp/companies/248ecda0fde8e759240378b10fbcaccb,役員情報なし,役員情報なし
株式会社三宅,https://www.miyake-net.co.jp/company/,代表取締役会長,福井一仁
株式会社三宅,https://www.miyake-net.co.jp/company/,代表取締役社長,三宅良平
株式会社三宅,https://www.miyake-net.co.jp/company/,取締役,三宅篤
株式会社三宅,https://www.miyake-net.co.jp/company/,取締役相談役,三宅良治
株式会社三宅,https://www.miyake-net.co.jp/company/,常務執行役員,茶円恭一
株式会社三宅,https://www.miyake-net.co.jp/company/,常務執行役員,見津哲章
株式会社三宅,https://www.miyake-net.co.jp/company/,専任執行役員,藤川晃敏
株式会社三宅,https://www.miyake-net.co.jp/company/,執行役員,𠮷川干城
株式会社三宅,https://www.miyake-net.co.jp/company/,執行役員,百地一仁
株式会社三宅,https://www.miyake-net.co.jp/company/,理事,稲垣信雄
株式会社山本,https://www.ytc-j.co.jp/news/2024%E5%B9%B4%E5%BA%A6%E5%BD%B9%E5%93%A1%E9%81%B8%E4%BB%BB%E3%81%AE%E3%81%94%E6%A1%88%E5%86%85/,代表取締役社長執行役員,郡司哲雄
株式会社山本,https://www.ytc-j.co.jp/news/2024%E5%B9%B4%E5%BA%A6%E5%BD%B9%E5%93%A1%E9%81%B8%E4%BB%BB%E3%81%AE%E3%81%94%E6%A1%88%E5%86%85/,代表取締役会長,石川吉之助
株式会社山本,https://www.ytc-j.co.jp/news/2024%E5%B9%B4%E5%BA%A6%E5%BD%B9%E5%93%A1%E9%81%B8%E4%BB%BB%E3%81%AE%E3%81%94%E6%A1%88%E5%86%85/,常務取締役管理本部本部長,上野嘉人
株式会社山本,https://www.ytc-j.co.jp/news/2024%E5%B9%B4%E5%BA%A6%E5%BD%B9%E5%93%A1%E9%81%B8%E4%BB%BB%E3%81%AE%E3%81%94%E6%A1%88%E5%86%85/,取締役経営企画室室長,橘高茂樹
株式会社山本,https://www.ytc-j.co.jp/news/2024%E5%B9%B4%E5%BA%A6%E5%BD%B9%E5%93%A1%E9%81%B8%E4%BB%BB%E3%81%AE%E3%81%94%E6%A1%88%E5%86%85/,監査役,廣瀨裕
株式会社山本,https://www.ytc-j.co.jp/news/2024%E5%B9%B4%E5%BA%A6%E5%BD%B9%E5%93%A1%E9%81%B8%E4%BB%BB%E3%81%AE%E3%81%94%E6%A1%88%E5%86%85/,常務執行役員第二営業本部本部長,久保泰幸
株式会社山本,https://www.ytc-j.co.jp/news/2024%E5%B9%B4%E5%BA%A6%E5%BD%B9%E5%93%A1%E9%81%B8%E4%BB%BB%E3%81%AE%E3%81%94%E6%A1%88%E5%86%85/,上席執行役員物流本部本部長,丸山良一
株式会社山本,https://www.ytc-j.co.jp/news/2024%E5%B9%B4%E5%BA%A6%E5%BD%B9%E5%93%A1%E9%81%B8%E4%BB%BB%E3%81%AE%E3%81%94%E6%A1%88%E5%86%85/,上席執行役員人事総務部部長,森尾浩伸
株式会社山本,https://www.ytc-j.co.jp/news/2024%E5%B9%B4%E5%BA%A6%E5%BD%B9%E5%93%A1%E9%81%B8%E4%BB%BB%E3%81%AE%E3%81%94%E6%A1%88%E5%86%85/,執行役員第三営業本部本部長,今津有揮
株式会社山本,https://www.ytc-j.co.jp/news/2024%E5%B9%B4%E5%BA%A6%E5%BD%B9%E5%93%A1%E9%81%B8%E4%BB%BB%E3%81%AE%E3%81%94%E6%A1%88%E5%86%85/,執行役員第一営業本部本部長,山口美博
株式会社パッションギークス,https://www.nakasho.group/passion-geeks/outline,代表取締役,阿部 翔悟
株式会社ＨＡＲＵＮＡ,https://harunabev.co.jp/company/about/officers001/,代表取締役社長,青木麻生
株式会社ＨＡＲＵＮＡ,https://harunabev.co.jp/company/about/officers001/,専務取締役 CFO・CHO・CDO,栗原健一
株式会社ＨＡＲＵＮＡ,https://harunabev.co.jp/company/about/officers001/,取締役 CMO,ピーター・トーマス
株式会社ＨＡＲＵＮＡ,https://harunabev.co.jp/company/about/officers001/,取締役,小出信介
株式会社ＨＡＲＵＮＡ,https://harunabev.co.jp/company/about/officers001/,取締役,梅野匡俊
株式会社ＨＡＲＵＮＡ,https://harunabev.co.jp/company/about/officers001/,監査役,尾﨑聖治
エムズプランニング株式会社,https://www.mzplan.co.jp/company/,取締役会長,都築 冨士男
エムズプランニング株式会社,https://www.mzplan.co.jp/company/,代表取締役社長,村尾 充司
エムズプランニング株式会社,https://www.mzplan.co.jp/company/,代表取締役専務,藤原 尚
エムズプランニング株式会社,https://www.mzplan.co.jp/company/,取締役,浅野 千賀子
エムズプランニング株式会社,https://www.mzplan.co.jp/company/,社外取締役,伊藤 恭
エムズプランニング株式会社,https://www.mzplan.co.jp/company/,監査役,林 弘行
株式会社大島,https://jp.osy.co.jp/company-information/corporate-profile/,代表取締役会長,南 宣之
株式会社大島,https://jp.osy.co.jp/company-information/corporate-profile/,代表取締役社長,山口 眞
株式会社大島,https://jp.osy.co.jp/company-information/corporate-profile/,代表取締役副社長,竹山 仰
株式会社グラート,https://grato-co.com/company/,代表取締役,渡邊 武
株式会社グラート,https://grato-co.com/company/,代表取締役,板川 英二
株式会社やぐら,https://yagura.co/company.html,代表取締役社長,田所 英夫
株式会社やぐら,https://yagura.co/company.html,代表取締役,田所 英夫
株式会社エブリィ,https://corp.every.tv/news/20230703,代表取締役社長CEO,吉田 大成
株式会社エブリィ,https://corp.every.tv/news/20230703,取締役,菅原 千遥
株式会社エブリィ,https://corp.every.tv/news/20230703,執行役員DELISH KITCHENカンパニー長,菅原 千遥
株式会社エブリィ,https://corp.every.tv/news/20230703,執行役員CTO開発本部長,今井 啓介
株式会社エブリィ,https://corp.every.tv/news/20230703,執行役員CFOコーポレート本部長,山本 隆三
株式会社エブリィ,https://corp.every.tv/news/20230703,執行役員ソリューション本部長,鵜飼 勇人
株式会社エブリィ,https://corp.every.tv/news/20230703,執行役員MAMADAYSカンパニー長,三ツ中 菜津美
株式会社エブリィ,https://corp.every.tv/news/20230703,執行役員TIMELINEカンパニー長,山際 健太
株式会社エブリィ,https://corp.every.tv/news/20230703,執行役員VP of Product,堀田 敏史
株式会社エブリィ,https://corp.every.tv/news/20230703,社外取締役,福嶋 義弘
株式会社エブリィ,https://corp.every.tv/news/20230703,社外取締役,牧野 隆広
株式会社エブリィ,https://corp.every.tv/news/20230703,社外監査役（常勤）,髙橋 彩
株式会社エブリィ,https://corp.every.tv/news/20230703,社外監査役,平田 幸一郎
株式会社エブリィ,https://corp.every.tv/news/20230703,社外監査役,松本 拓生
株式会社東洋,http://www.co-toyo.jp/profile.html,代表取締役社長,服部 恵美子
株式会社東洋,http://www.co-toyo.jp/profile.html,専務取締役,杉野 誠
株式会社東洋,http://www.co-toyo.jp/profile.html,取締役生産本部長,大口 一裕
株式会社東洋,http://www.co-toyo.jp/profile.html,取締役管理本部長,原 英之
株式会社東洋,http://www.co-toyo.jp/profile.html,取締役営業本部長,三浦 茂
株式会社東洋,http://www.co-toyo.jp/profile.html,取締役事業推進部長,松本 正
株式会社東洋,http://www.co-toyo.jp/profile.html,取締役,青山 學
株式会社東洋,http://www.co-toyo.jp/profile.html,監査役,丹羽 要治
株式会社響,https://www.nikkei.com/compass/company/vaNr61ysYz3YdAYAHGfveL,役員情報なし,役員情報なし
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,代表取締役社長 / 社長,近藤 健介
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,代表取締役 / 副社長,荒井 信貴
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,代表取締役 / 専務執行役員,武部 憲尚
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,取締役 / 執行役員,大澤 英明
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,取締役 / 執行役員,柴田 健治
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,取締役 / 執行役員,山下 祐二
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,社外取締役,寄高 由季子
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,社外取締役,新井 龍晴
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,社外取締役,大澤 茂
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,常勤監査役,森下 健一
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,社外監査役,德尾野 信成
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,社外監査役,出縄 正人
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,常務執行役員,近藤 正巳
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,常務執行役員,木越 浩之
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,執行役員,榎本 聡
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,執行役員,山口 敏和
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,執行役員,武井 勝明
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,執行役員,青野 道博
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,執行役員,矢野間 載洋
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,執行役員,中原 洋見
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,執行役員,酒巻 豊
株式会社ビーエム,https://www.bml.co.jp/corporate/data.html,執行役員,山下 和宏
株式会社大江戸,https://ooedo-wagashi.co.jp/?mode=f3,代表取締役,齊藤 実
株式会社大江戸,https://ooedo-wagashi.co.jp/?mode=f3,代表取締役,福田 光伸
株式会社四文屋,https://shimonya.com/about,代表者,福島佑喜
株式会社日南,https://www.nichinan-group.com/group/NichinanCorporationHeadQuarters.html,役員情報なし,役員情報なし
株式会社遠藤商店,https://www.tokyo-cci.or.jp/market/food_jirei/endosho-ten.html,代表取締役,遠藤 剛
株式会社ラクシ,https://www.ruxy.co.jp/company/summary.html,代表取締役会長,足立 利次
株式会社ラクシ,https://www.ruxy.co.jp/company/summary.html,代表取締役社長,高村 陽一
株式会社ラクシ,https://www.ruxy.co.jp/company/summary.html,取締役 常務執行役員 工事担当,金田 一則
株式会社ラクシ,https://www.ruxy.co.jp/company/summary.html,取締役 執行役員 法人営業担当,柴峯 淳
株式会社ラクシ,https://www.ruxy.co.jp/company/summary.html,取締役 執行役員 人事・管理担当,斉田 峰生
株式会社ラクシ,https://www.ruxy.co.jp/company/summary.html,取締役 執行役員 営業担当,久保 孝之
株式会社リスタ,https://www.wantedly.com/companies/rista/members,ディレクター,奈良 沙希
株式会社リスタ,https://www.wantedly.com/companies/rista/members,セールス,大石 達也
株式会社かねぶん,https://kanebun.co.jp/company.php,役員情報なし,役員情報なし
株式会社奈良,https://www.nara-m.co.jp/company.html,最高顧問,奈良 自起
株式会社奈良,https://www.nara-m.co.jp/company.html,代表取締役社長,烝原 健一
株式会社奈良,https://www.nara-m.co.jp/company.html,代表取締役副社長,永澤 寿文
株式会社奈良,https://www.nara-m.co.jp/company.html,専務取締役,川上 頼一
株式会社奈良,https://www.nara-m.co.jp/company.html,取締役,岩松 英敏
株式会社奈良,https://www.nara-m.co.jp/company.html,取締役,丸山 修
株式会社奈良,https://www.nara-m.co.jp/company.html,執行役員,髙島 久継
株式会社奈良,https://www.nara-m.co.jp/company.html,監査役,釜塚 慶秀
株式会社ＧＮＯ,https://japanpride.jp/person/usami_takashi/,代表取締役CEO,宇佐美貴士
株式会社ファースト,https://www.first-holdings.jp/company/,代表取締役,武樋 泰臣
株式会社ファースト,https://www.first-holdings.jp/company/,専務取締役,島﨑 祐光
株式会社ファースト,https://www.first-holdings.jp/company/,常務取締役,岡部 祐政
株式会社ファースト,https://www.first-holdings.jp/company/,取締役,武樋 耕太郎
株式会社ファースト,https://www.first-holdings.jp/company/,執行役員,中野 裕介
株式会社ファースト,https://www.first-holdings.jp/company/,執行役員,黒岩 幸子
株式会社ファースト,https://www.first-holdings.jp/company/,執行役員,栗林 弘幸
株式会社ファースト,https://www.first-holdings.jp/company/,執行役員,秋吉 智文
株式会社ファースト,https://www.first-holdings.jp/company/,執行役員,武樋 祐輔
株式会社ファースト,https://www.first-holdings.jp/company/,監査役,外園 淳
株式会社ＫＵＲＫＫＵ,https://www.wantedly.com/companies/kurkku/members,役員情報なし,役員情報なし
株式会社コカルド,https://www.decollte.co.jp/company/officers.php,代表取締役社長,新井 賢二
株式会社コカルド,https://www.decollte.co.jp/company/officers.php,取締役,水間 寿也
株式会社コカルド,https://www.decollte.co.jp/company/officers.php,取締役,岩切 大祐
株式会社コカルド,https://www.decollte.co.jp/company/officers.php,取締役,新 敬史
株式会社コカルド,https://www.decollte.co.jp/company/officers.php,社外取締役,中曽根 玲子
株式会社コカルド,https://www.decollte.co.jp/company/officers.php,社外取締役,松岡 洋平
株式会社コカルド,https://www.decollte.co.jp/company/officers.php,社外取締役,奥山 翔
株式会社コカルド,https://www.decollte.co.jp/company/officers.php,常勤監査役,皆木 和義
株式会社コカルド,https://www.decollte.co.jp/company/officers.php,社外監査役,太田 大三
株式会社コカルド,https://www.decollte.co.jp/company/officers.php,社外監査役,小林 克彦
株式会社ＫＯＣ,http://koc-net.jp/company/,代表取締役,岸部 寛志
株式会社ＫＯＣ,http://koc-net.jp/company/,取締役社長付,北島 奈都子
株式会社ＫＯＣ,http://koc-net.jp/company/,取締役専務,三野輪 剛
プレステック株式会社,https://yellowpage.usonar.co.jp/companies/1dab04d5dff95409dce29583a23e25ce,役員情報なし,役員情報なし
株式会社オールクリエーション,https://www.allcreation.jp/,代表者名,喜屋武 修
株式会社もりもと,https://morimoto-real.co.jp/corporate/officer.html,代表取締役会長兼社長,森本 浩義
株式会社もりもと,https://morimoto-real.co.jp/corporate/officer.html,専務取締役,柏木 二郎
株式会社もりもと,https://morimoto-real.co.jp/corporate/officer.html,取締役 常務執行役員,吉川 知弥
株式会社もりもと,https://morimoto-real.co.jp/corporate/officer.html,取締役 常務執行役員,尾針 勇次
株式会社もりもと,https://morimoto-real.co.jp/corporate/officer.html,取締役 常務執行役員,大橋 眞
株式会社もりもと,https://morimoto-real.co.jp/corporate/officer.html,取締役（社外）,舩橋 晴雄
株式会社もりもと,https://morimoto-real.co.jp/corporate/officer.html,監査役（社外）,堀 裕
株式会社もりもと,https://morimoto-real.co.jp/corporate/officer.html,執行役員,後藤 直文
株式会社もりもと,https://morimoto-real.co.jp/corporate/officer.html,執行役員,平松 貴博
株式会社もりもと,https://morimoto-real.co.jp/corporate/officer.html,執行役員,倉林 史彦
株式会社トレビ,https://torebi-htl.com/about-us/,代表取締役,椎野雅
株式会社トレビ,https://torebi-htl.com/about-us/,取締役,阿部拓哉
日新産業株式会社,https://www.nisshin-ind.com/company/,会長,黛 精一
日新産業株式会社,https://www.nisshin-ind.com/company/,代表取締役社長,長田 祐治
日新産業株式会社,https://www.nisshin-ind.com/company/,専務取締役,佐藤 信也
日新産業株式会社,https://www.nisshin-ind.com/company/,監査役,下田 隆
株式会社お多福,https://otafuku-lab.co/company_profile/,代表取締役社長,松山 純輝
株式会社お多福,https://otafuku-lab.co/company_profile/,専務取締役,丸山 麻子
株式会社お多福,https://otafuku-lab.co/company_profile/,執行役員,浜道 崇
株式会社お多福,https://otafuku-lab.co/company_profile/,執行役員,和泉 龍徳
株式会社ＡＢＣライツビジネス,https://corp.asahi.co.jp/ja/info/info-6852580350466567480/main/0/link/FHD.pdf,役員情報なし,役員情報なし
株式会社和創,https://www.careermap.jp/corporations/88836,代表取締役,中村 和也
株式会社十一屋,https://shinshu-kiraku.net/shop/north/n-01.html,代表取締役社長,小林 憲一
株式会社ティーエーシー,http://total-a.jp/aboutus,代表取締役,秋好 英喜
株式会社ティーエーシー,http://total-a.jp/aboutus,専務取締役,山口 毅
株式会社ティーエーシー,http://total-a.jp/aboutus,常務取締役,福井 裕
株式会社バター,https://irbank.net/E00337/officer,取締役会長,三宅宏和
株式会社バター,https://irbank.net/E00337/officer,取締役社長兼CEO,塚本浩康
株式会社バター,https://irbank.net/E00337/officer,取締役専務執行役員,中村行男
株式会社バター,https://irbank.net/E00337/officer,取締役常務執行役員,斎藤保典
株式会社バター,https://irbank.net/E00337/officer,取締役相談役,塚本哲夫
株式会社バター,https://irbank.net/E00337/officer,取締役,佐藤容子
株式会社バター,https://irbank.net/E00337/officer,取締役,齋藤達也
株式会社バター,https://irbank.net/E00337/officer,取締役,新山陽子
株式会社バター,https://irbank.net/E00337/officer,取締役,國宗勝彦
株式会社バター,https://irbank.net/E00337/officer,取締役,今津龍三
株式会社バター,https://irbank.net/E00337/officer,取締役,早川芳夫
株式会社Ｄダイニング,https://www.diamond-dining.com/company/info/outline/,代表取締役社長,松村 厚久
株式会社Ｄダイニング,https://www.diamond-dining.com/company/info/outline/,取締役 副社長,鹿中 一志
株式会社Ｄダイニング,https://www.diamond-dining.com/company/info/outline/,取締役 副社長,矢口 健一
株式会社Ｄダイニング,https://www.diamond-dining.com/company/info/outline/,取締役,山田 貴史
株式会社Ｄダイニング,https://www.diamond-dining.com/company/info/outline/,取締役,林 考洋
株式会社Ｄダイニング,https://www.diamond-dining.com/company/info/outline/,監査役,樋口 康弘
株式会社丸川屋,https://www.marukawa-ya.com/,役員情報なし,役員情報なし
株式会社インターフィールド,https://interfield-trust.co.jp/company/,代表役員,仲山 弘恭
ウェルネスダイニング株式会社,https://www.wellness-dining.com/corporate/company/outline/,代表取締役,中本 哲宏
ウェルネスダイニング株式会社,https://www.wellness-dining.com/corporate/company/outline/,取締役,中野 彩未
ウェルネスダイニング株式会社,https://www.wellness-dining.com/corporate/company/outline/,取締役,佐々木 俊文
ウェルネスダイニング株式会社,https://www.wellness-dining.com/corporate/company/outline/,社外取締役,筒井 祐智
ウェルネスダイニング株式会社,https://www.wellness-dining.com/corporate/company/outline/,社外取締役,世取山 次郎
ウェルネスダイニング株式会社,https://www.wellness-dining.com/corporate/company/outline/,監査役,吉田 浩司
株式会社アサヒフーズ,http://www.afoods.jp/abouts/outline/,代表取締役社長,長澤 彰
株式会社アサヒフーズ,http://www.afoods.jp/abouts/outline/,専務取締役,中村 直也
株式会社アサヒフーズ,http://www.afoods.jp/abouts/outline/,常務取締役,沼田 弘幸
株式会社アサヒフーズ,http://www.afoods.jp/abouts/outline/,取締役,松室 卓也
株式会社アサヒフーズ,http://www.afoods.jp/abouts/outline/,取締役,池尾 公英
株式会社アサヒフーズ,http://www.afoods.jp/abouts/outline/,取締役,久留 尚武
株式会社あゆみ,https://www.wantedly.com/companies/aumi/members,役員情報なし,役員情報なし
株式会社きぬや,https://www.kinuya.co.jp/company/,代表取締役,寺戸 裕之
株式会社ラプラス,http://www.lapinc.co.jp/organization.html,代表取締役社長,中村 廣昭
株式会社ラプラス,http://www.lapinc.co.jp/organization.html,代表取締役副社長,武者 洋一
株式会社ラプラス,http://www.lapinc.co.jp/organization.html,取締役常務,高木 幹憲
株式会社ハローライフ,https://www.hellolife.co.jp/company/profile/,取締役社長,杉山 敦
株式会社ハローライフ,https://www.hellolife.co.jp/company/profile/,専務取締役,安永 尚哉
株式会社ハローライフ,https://www.hellolife.co.jp/company/profile/,取締役,鷹見 昭人
株式会社ハローライフ,https://www.hellolife.co.jp/company/profile/,監査役,原田 聡
株式会社せんだい,https://www.s-meiban.com/cat1/11103/,代表取締役社長,鹿又浩行
株式会社せんだい,https://www.s-meiban.com/cat1/11103/,専務取締役,佐藤秀文
株式会社せんだい,https://www.s-meiban.com/cat1/11103/,常務取締役,菊池伸好
株式会社せんだい,https://www.s-meiban.com/cat1/11103/,取締役,相良善信
株式会社せんだい,https://www.s-meiban.com/cat1/11103/,取締役,佐々木哲也
株式会社せんだい,https://www.s-meiban.com/cat1/11103/,取締役,小池安幸
株式会社せんだい,https://www.s-meiban.com/cat1/11103/,上席執行役員,斉藤照
株式会社せんだい,https://www.s-meiban.com/cat1/11103/,上席執行役員,佐々木雄
株式会社せんだい,https://www.s-meiban.com/cat1/11103/,上席執行役員,大谷秀樹
株式会社せんだい,https://www.s-meiban.com/cat1/11103/,執行役員,林一博
株式会社せんだい,https://www.s-meiban.com/cat1/11103/,監査役（社外監査役）,佐藤香織
株式会社アターブル松屋ホールディングス,http://www.atable-matsuya.com/company/officer.html,代表取締役社長執行役員 営業本部長,寺輪 佳輝
株式会社アターブル松屋ホールディングス,http://www.atable-matsuya.com/company/officer.html,取締役,古屋 毅彦
株式会社アターブル松屋ホールディングス,http://www.atable-matsuya.com/company/officer.html,取締役,横関 直樹
株式会社アターブル松屋ホールディングス,http://www.atable-matsuya.com/company/officer.html,執行役員 第二営業部長 兼 施設管理部門担当 兼 タワーホール船堀館長,畑 秀夫
株式会社アターブル松屋ホールディングス,http://www.atable-matsuya.com/company/officer.html,執行役員 総料理長,小林 三好
株式会社アターブル松屋ホールディングス,http://www.atable-matsuya.com/company/officer.html,執行役員 第一営業部長 兼 営業企画部長 兼 購買課長,辻田 泰
株式会社アターブル松屋ホールディングス,http://www.atable-matsuya.com/company/officer.html,執行役員 経営企画室長 兼 経営企画部長 兼 業務管理本部長 兼 経理部長,白圡 隆
株式会社アターブル松屋ホールディングス,http://www.atable-matsuya.com/company/officer.html,監査役,小林 一
株式会社アターブル松屋ホールディングス,http://www.atable-matsuya.com/company/officer.html,監査役,真山 伸一
株式会社Ｃｌｕｔｃｈ,https://www.wantedly.com/companies/clutch/members,役員情報なし,役員情報なし
株式会社クリル,https://clelu.com/about/,代表取締役,藤井正典
株式会社ナガシマ,https://nagashima-const.jp/overview/,役員情報なし,役員情報なし
ウルトラキッチン株式会社,https://in-shoku.info/foodfighters/vol1020.html,代表取締役,杉窪章匡
