会社名,URL,役職,氏名,業種,公式サイトURL,年商
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,常務執行役員,野中　公陽,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,瀬川　高志,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,久馬　仁,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,川邊　修,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,井上　勝司,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,関口　和洋,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,森　貴幸,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,上原　秀隆,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,三木　浩嗣,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,執行役員,横山　英治,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
ケイエス冷凍食品株式会社,https://www.ks-frozen.co.jp/company/outline/index.html,代表取締役,古賀 正美,食品製造（冷凍食品）,https://www.ks-frozen.co.jp/,"112億9,700万円"
ケイエス冷凍食品株式会社,https://www.ks-frozen.co.jp/company/outline/index.html,取締役,篠原 史訓,食品製造（冷凍食品）,https://www.ks-frozen.co.jp/,"112億9,700万円"
ケイエス冷凍食品株式会社,https://www.ks-frozen.co.jp/company/outline/index.html,取締役,齋藤 智純,食品製造（冷凍食品）,https://www.ks-frozen.co.jp/,"112億9,700万円"
ケイエス冷凍食品株式会社,https://www.ks-frozen.co.jp/company/outline/index.html,監査役,東 滋紀,食品製造（冷凍食品）,https://www.ks-frozen.co.jp/,"112億9,700万円"
